Name,Mpn,Count,Device,Value,Package,Mfg,Cost,Description
"C1,C22,C23,C24,C25",CL31X226KOHN3NE,5,CAP-1206,22u 16v,1206,Samsung,0.9049,""
"C15,C16,C19,C26",CL21A106KPFNNNE,4,CAP-0805,10u,0805,Samsung,0.19060000000000002,""
C21,CKG57NX7S1C107M500JH,1,CAP-2220,100u 16v,2220,TDK,3.2068,""
"C3,C4,C6,C7,C9,C10,C12,C13,C20",MF-CAP-0603-0.1uF,9,CAP-0603,100n,0603,Generic,,""
"C5,C8,C11,C14",MF-CAP-0603-0.01uF,4,CAP-0603,10n,0603,Generic,,""
D1,MBR120VLSFT3G,1,DIODE-SCHOTTKY-SOD-123,MBR120,SOD-123,ON Semiconductor,0.16,""
"D3,D4",SMAJ12A-13-F,2,DIODE-DO214AA,SMAJ12A,DO214AA,Diodes Inc.,0.236,""
"FB1,FB2,FB3,FB4",BK1608HW601-T,4,FER-0603,600R,0603,Taiyo Yuden,0.11350000000000002,""
"L3,L4",HCF1007-100-R,2,IND-HCF1007,10uH,IND-HCF1007,Eaton,4.3222,""
PWR,43045-0200,1,CONN-2-MFJR-RA,,CONN-MFJR-RA-2X1,Molex,0.7328,""
Q3,FDS6630A,1,MOSFET-NCH-SOIC8,6.5A/30V/38mΩ,SOIC127P600X175-8,ON Semiconductor,0.316,""
"R2,R3,R18",MF-RES-0603-1K,3,RES-0603,1k,0603,Generic,,""
"R20,R21",MF-RES-0603-4.7K,2,RES-0603,4K7,0603,Generic,,""
"R4,R6,R8,R10,R16,R17,R19,R23",MF-RES-0603-10K,8,RES-0603,10k,0603,Generic,,""
"R5,R7,R9,R11",ERA3ARW432V,4,RES-0603,4k3 0.05%,0603,Panasonic,1.7916,""
RTD1,3221-16-0300-00,1,CONN-16-ZT,,CONN-2X8-050-SMT-ZT,CNC Tech,0.946,""
TEC/FAN,43045-0400,1,CONN-4-MFJR-RA,,CONN-MFJR-RA-2X2,Molex,1.1052,""
U1,NCP1117ST50T3G,1,VREG-LDO,NCP1117 3v3,SOT230P700X180-4,ON Semiconductor,0.238,""
U10,NCV8461DR2G,1,NCV8461,,SOIC127P600X175-8,ON Semiconductor,0.753,""
U2,AT21CS01-STUM10-T,1,AT21CS01,,SOT23,Microchip,0.1836,""
"U3,U4,U5,U6",MAX31865ATP+,4,MAX31865,,QFN65P500X500X100-21T325,Maxim Integrated,12.336,""
U7,AP2112K-3.3TRG1,1,MIC5225,3v3,SOT25,Diodes Inc.,0.15,""
U8,VNH5019ATR-E,1,VNH5019,,SOP100P1900X235-30-EP,STMicroelectronics,5.75,""
